,SPX,cont long,neu long,cont neutral,Neu neutral +,Neu neutral -,cont short,neu short
8/5/15,2099.84,44.64,4.07,19.95,4.66,2.08,21.24,3.37
8/6/15,2083.56,41.19,2.33,19.83,3.57,6.73,20.95,5.40
8/7/15,2077.57,39.11,3.08,22.40,2.04,4.16,24.15,5.07
8/10/15,2104.18,41.23,9.31,18.45,9.35,0.96,19.78,0.91
8/11/15,2084.07,43.64,1.54,22.36,1.50,6.32,19.20,5.44
8/12/15,2086.05,41.48,3.24,24.77,4.24,3.66,20.37,2.24
8/13/15,2083.39,41.60,2.12,25.94,1.66,2.91,20.95,4.82
8/14/15,2091.54,42.25,5.07,24.07,3.53,1.41,22.16,1.50
8/17/15,2102.44,46.20,4.49,23.37,4.66,1.04,18.84,1.41
8/18/15,2096.92,46.63,1.16,24.11,2.12,3.99,18.08,3.91
8/19/15,2079.61,42.19,0.96,24.02,1.41,5.49,20.57,5.36
8/20/15,2035.73,29.30,0.58,18.12,0.58,13.13,25.35,12.93
8/21/15,1970.89,17.75,0.58,19.12,1.12,11.26,37.07,13.09
8/24/15,1893.21,3.87,0.12,12.26,0.46,11.31,49.67,22.32
8/25/15,1867.61,2.54,0.54,17.17,2.37,1.33,69.53,6.53
8/26/15,1940.51,2.99,4.99,15.84,15.59,0.08,59.81,0.71
8/27/15,1987.66,7.52,9.27,22.28,21.24,0.37,38.65,0.67
8/28/15,1988.87,14.88,4.78,37.82,11.89,1.83,27.27,1.54
8/31/15,1972.18,15.13,3.37,41.35,5.90,4.49,22.82,6.94
9/1/15,1913.85,8.48,0.17,31.46,1.16,9.52,28.60,20.62
9/2/15,1948.86,8.19,6.44,34.25,15.63,0.46,33.29,1.75
9/3/15,1951.13,12.93,3.12,44.31,8.52,1.62,26.43,3.08
9/4/15,1921.22,12.47,0.79,43.64,2.62,3.57,26.89,10.02
9/7/15,1921.22,13.26,0.25,49.29,1.83,0.00,35.08,0.29
9/8/15,1969.41,13.13,11.39,39.03,18.50,0.33,16.75,0.87
9/9/15,1942.04,18.33,1.00,49.96,2.58,6.15,15.05,6.94
9/10/15,1952.29,18.04,4.20,52.66,6.44,1.21,15.54,1.91
9/11/15,1961.05,20.24,4.11,53.41,3.95,2.00,13.51,2.78
9/14/15,1953.03,21.45,2.24,52.62,1.45,2.87,14.84,4.53
9/15/15,1978.09,23.28,8.02,47.96,6.15,0.42,13.22,0.96
9/16/15,1996.70,30.08,8.75,45.00,6.79,1.17,7.25,0.96
9/17/15,1995.35,36.38,5.79,45.58,2.13,2.46,6.08,1.58
9/18/15,1956.60,29.94,1.29,41.03,0.46,12.05,7.13,8.09
9/21/15,1962.95,27.48,5.00,45.33,3.50,3.67,11.68,3.34
9/22/15,1944.72,24.60,1.00,42.04,0.79,7.88,14.22,9.47
9/23/15,1939.74,22.35,2.29,40.53,1.46,3.25,22.23,7.88
9/24/15,1932.37,21.18,3.50,37.95,3.71,3.42,26.40,3.84
9/25/15,1929.68,20.98,4.80,33.44,3.04,3.54,27.15,7.05
9/28/15,1886.02,17.76,1.71,22.52,0.42,7.17,33.74,16.68
9/29/15,1876.57,16.89,1.79,23.23,3.25,2.50,47.12,5.21
